techs,nodes,value,parameters
open_field_pv,GBR_1,0.9431105811020216,cost_energy_cap
open_field_pv,GBR_2,0.9594011267014045,cost_energy_cap
open_field_pv,GBR_3,0.9420849367727145,cost_energy_cap
open_field_pv,GBR_4,0.9581260892174802,cost_energy_cap
open_field_pv,GBR_5,0.9622222481136002,cost_energy_cap
open_field_pv,GBR_6,0.9594011267014045,cost_energy_cap
pv_on_roof,GBR_1,0.5207413594100381,cost_energy_cap
pv_on_roof,GBR_2,0.5294380315431234,cost_energy_cap
pv_on_roof,GBR_3,0.5025943319557108,cost_energy_cap
pv_on_roof,GBR_4,0.4968390193286011,cost_energy_cap
pv_on_roof,GBR_5,0.48510763873847923,cost_energy_cap
pv_on_roof,GBR_6,0.5665194731332577,cost_energy_cap
wind_onshore,GBR_1,0.9180754391127599,cost_energy_cap
wind_onshore,GBR_2,0.9332346508396479,cost_energy_cap
wind_onshore,GBR_3,0.9290659284182913,cost_energy_cap
wind_onshore,GBR_4,0.9365684199760765,cost_energy_cap
wind_onshore,GBR_5,0.9272254837570602,cost_energy_cap
wind_onshore,GBR_6,0.9149886406123249,cost_energy_cap
wind_offshore,GBR_1,0.6214417086891733,cost_energy_cap
wind_offshore,GBR_2,0.6361695833131359,cost_energy_cap
wind_offshore,GBR_3,0.6221214521216638,cost_energy_cap
wind_offshore,GBR_4,0.6261396536638442,cost_energy_cap
wind_offshore,GBR_5,0.6265741609233472,cost_energy_cap
wind_offshore,GBR_6,0.6265741609233472,cost_energy_cap
nuclear,GBR_1,0.4467216042410815,cost_energy_cap
nuclear,GBR_2,0.4794152244051429,cost_energy_cap
nuclear,GBR_3,0.4540760784568985,cost_energy_cap
nuclear,GBR_4,0.44943446714044977,cost_energy_cap
nuclear,GBR_5,0.4385974914688394,cost_energy_cap
nuclear,GBR_6,0.4326251773923546,cost_energy_cap
biofuel,GBR_1,0.6033182012000701,cost_energy_cap
biofuel,GBR_2,0.6119633934008577,cost_energy_cap
biofuel,GBR_3,0.6093547113858047,cost_energy_cap
biofuel,GBR_4,0.6064904047785884,cost_energy_cap
biofuel,GBR_5,0.6119633934008577,cost_energy_cap
biofuel,GBR_6,0.6119633934008577,cost_energy_cap
battery,GBR_1,0.5927731402339691,cost_energy_cap
battery,GBR_2,0.5927731402339691,cost_energy_cap
battery,GBR_3,0.5927731402339691,cost_energy_cap
battery,GBR_4,0.5927731402339691,cost_energy_cap
battery,GBR_5,0.5927731402339691,cost_energy_cap
battery,GBR_6,0.5927731402339691,cost_energy_cap
ac_ohl,GBR_1,0.4982392103937734,cost_energy_cap
ac_ohl,GBR_2,0.4385974914688394,cost_energy_cap
ac_ohl,GBR_3,0.5053753753090313,cost_energy_cap
ac_ohl,GBR_4,0.4914990974191628,cost_energy_cap
ac_ohl,GBR_5,0.5130629827961053,cost_energy_cap
ac_ohl,GBR_6,0.47368855291711387,cost_energy_cap
